Reference,Group,Genus,Species,ID,Habitat,Volume,Temperature,Growth
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha furcata,BJ,Freshwater,1044,10,0.44
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha furcata,BJ,Freshwater,993,15,0.45
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha furcata,BJ,Freshwater,931.8,20,0.79
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha furcata,BJ,Freshwater,809.4,25,0.93
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha furcata,BK,Freshwater,2055,5,0.14
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha furcata,BK,Freshwater,1582,10,0.54
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha furcata,BK,Freshwater,1603,15,0.77
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha furcata,BK,Freshwater,1173,20,1.1
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha furcata,BK,Freshwater,1089,25,1.3
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha farcta,BL,Freshwater,3260,5,0.04
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha farcta,BL,Freshwater,2518,10,0.7
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha farcta,BL,Freshwater,2436,15,1.4
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha farcta,BL,Freshwater,1639,20,1.64
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha farcta,BL,Freshwater,1790,25,1.84
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha farcta,BL,Freshwater,1886,30,1.77
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha farcta,BM,Freshwater,1843,10,0.45
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha farcta,BM,Freshwater,1410,15,0.89
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha farcta,BM,Freshwater,1215,20,1
Weisse and Montagnes 1998,Ciliates,Urotricha,Urotricha farcta,BM,Freshwater,1143,25,1.3
Weisse et al. 2001,Ciliates,Urotricha,Urotricha farcta,BN,Freshwater,3350,12,1.2
